OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or more Vehicles Available,Worked From Home,Car truck or van - drove alone,Car truck or van - carpooled,Public Transportation (excluding taxicab),Other Means,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Walked,Workers 16 years and over,Total Households,Neighborhood Type (outside comp plan areas id)
45,3.4,South Beacon Hill/NewHolly,CRA,Greater Duwamish,5Y23,807,1635,1543,935,1445,3477,855,1355,190,553,2023,1699,1003,520,174,95,7417,4920,CRA
46,3.5,Beacon Hill,CRA,Greater Duwamish,5Y23,195,1042,1018,754,1034,2857,333,498,127,506,1585,1122,384,202,54,38,4887,3009,CRA
47,3.6,North Beacon Hill/Jefferson Park,CRA,Greater Duwamish,5Y23,1224,3259,1913,795,2553,3964,494,1843,408,1290,2786,1817,724,249,51,208,9470,7191,CRA
48,4.1,Rainier Beach,CRA,Southeast,5Y23,578,1961,1879,1419,1279,4629,1255,1272,62,661,2617,2313,1052,551,95,71,8568,5837,CRA
49,4.2,Columbia City,CRA,Southeast,5Y23,1194,4044,2668,1022,3781,5042,967,1867,497,874,3535,2629,924,302,329,220,12374,8928,CRA
50,4.3,Seward Park,CRA,Southeast,5Y23,249,1374,1673,721,1692,2453,363,733,225,466,1424,1242,505,176,35,74,5540,4017,CRA
51,4.4,Mt. Baker/North Rainier,CRA,Southeast,5Y23,472,1156,1075,411,1204,1873,328,551,145,471,1557,666,194,86,29,106,4207,3114,CRA
52,5.1,Madrona/Leschi,CRA,Central,5Y23,293,1908,2023,786,2259,2541,264,611,420,794,2086,796,227,57,90,214,6309,5010,CRA
53,5.2,Judkins Park,CRA,Central,5Y23,697,1080,461,99,826,772,131,546,70,300,760,385,81,78,18,103,2448,2337,CRA
54,5.3,Central Area/Squire Park,CRA,Central,5Y23,1930,5081,2684,905,4200,5228,595,2455,622,1820,4718,2568,726,235,57,1224,14324,10600,CRA
55,6.1,First Hill,CRA,East,5Y23,4324,4998,1012,75,3331,2736,201,1971,267,2307,3213,1679,622,277,92,3015,11521,10409,CRA
56,6.2,Capitol Hill,CRA,East,5Y23,8717,9461,1099,463,5971,4612,340,5162,1175,3169,6183,4312,866,664,320,4225,21485,19740,CRA
57,6.3,North Capitol Hill,CRA,East,5Y23,677,1374,623,85,1395,986,223,310,136,365,958,499,163,16,16,362,3412,2759,CRA
58,6.4,Miller Park,CRA,East,5Y23,675,1614,941,564,1644,1172,197,803,476,640,1522,647,233,112,71,577,4869,3794,CRA
59,6.5,Madison Park,CRA,East,5Y23,35,1281,1042,283,839,1411,81,59,120,435,797,340,93,39,14,47,2557,2641,CRA
60,7.1,Montlake/Portage Bay,CRA,Northeast,5Y23,351,2285,1659,582,2054,2509,333,794,290,1109,1922,842,188,195,76,406,6386,4877,CRA
61,7.2,University District,CRA,Northeast,5Y23,2750,2649,891,447,2246,2607,303,2377,357,2841,3329,1404,566,252,131,2879,10769,6737,CRA
62,7.3,Ravenna/Bryant,CRA,Northeast,5Y23,1358,3968,4129,1299,4624,6096,1035,2010,1083,2540,4940,2499,884,420,74,1133,15981,10754,CRA
63,7.4,Wedgwood/View Ridge,CRA,Northeast,5Y23,420,2140,3266,1152,3122,4111,564,1140,507,1040,2787,1806,562,355,28,256,9700,6978,CRA
64,7.5,Laurelhurst/Sand Point,CRA,Northeast,5Y23,235,1558,1963,696,1607,2368,308,497,270,654,1847,750,214,184,7,213,5263,4452,CRA
65,8.1,Northgate/Maple Leaf,CRA,North,5Y23,1069,3843,2127,793,2664,4079,525,1542,417,1062,2688,1985,728,305,41,246,9473,7832,CRA
66,8.2,Olympic Hills/Victory Heights,CRA,North,5Y23,656,2980,2949,1025,2746,4623,706,1266,244,884,3230,2117,398,280,140,210,9795,7610,CRA
67,8.3,Cedar Park/Meadowbrook,CRA,North,5Y23,682,2647,2369,1066,2441,3990,350,1193,293,914,2458,1544,688,159,177,114,8381,6764,CRA
68,9.1,Broadview/Bitter Lake,CRA,Northwest,5Y23,1389,3758,1754,935,1637,4203,752,993,264,975,2170,2100,496,507,95,131,7980,7836,CRA
69,9.2,Licton Springs,CRA,Northwest,5Y23,780,2365,1187,441,1364,3233,396,979,329,727,2097,1628,328,364,20,227,6528,4773,CRA
70,9.3,Greenwood/Phinney Ridge,CRA,Northwest,5Y23,1013,5231,4404,1555,5672,7448,791,2194,599,2062,4818,3228,1143,441,54,714,17418,12203,CRA
71,9.4,Green Lake,CRA,Northwest,5Y23,965,4482,2951,411,3980,3919,577,1698,413,1202,2972,1979,588,127,110,371,10958,8809,CRA
72,9.5,Haller Lake,CRA,Northwest,5Y23,528,1883,1405,662,1771,3226,427,618,107,917,1756,1221,500,176,24,216,6365,4478,CRA
73,10.1,North Beach/Blue Ridge,CRA,Ballard,5Y23,238,1836,2265,934,2436,3430,584,429,259,792,1742,1344,673,269,50,168,7306,5273,CRA
74,10.2,Whittier Heights,CRA,Ballard,5Y23,422,3653,2125,476,3441,3577,504,1153,599,941,1987,2120,571,437,24,247,9521,6676,CRA
75,10.3,Sunset Hill/Loyal Heights,CRA,Ballard,5Y23,945,3378,2421,798,3277,3564,288,1131,655,1030,1592,2190,620,464,80,338,9253,7542,CRA
76,10.4,Ballard,CRA,Ballard,5Y23,1218,4096,1119,274,3061,2630,445,1234,285,536,1485,1606,912,198,143,286,7941,6707,CRA
77,11.1,Fremont,CRA,Lake Union,5Y23,1222,5531,2797,721,5311,4470,420,1903,821,2093,3285,2198,788,210,58,1018,13943,10271,CRA
78,11.2,Wallingford,CRA,Lake Union,5Y23,1564,4616,1848,662,4089,3972,429,2287,625,1004,3622,2538,625,309,114,899,12301,8690,CRA
